DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
201412841;06/25/2020 12:00:00 AM;06/18/2020 12:00:00 AM;1400;14;Pacific    ;1435;2;354;THEFT OF IDENTITY                                       ;0377 1822                              ;45;F;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
211404412;01/08/2021 12:00:00 AM;10/30/2020 12:00:00 AM;1200;14;Pacific    ;1415;2;354;THEFT OF IDENTITY                                       ;0377                                   ;44;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
201411962;06/07/2020 12:00:00 AM;06/07/2020 12:00:00 AM;210;14;Pacific    ;1452;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0906 1822 1816 0371 0411               ;25;M;H;207;BAR/COCKTAIL/NIGHTCLUB                      ;218;OTHER CUTTING INSTRUMENT                      ;IC;Invest Cont ;230
201404251;01/02/2020 12:00:00 AM;01/02/2020 12:00:00 AM;1528;14;Pacific    ;1406;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;2032 0344                              ;30;F;A;114;TAXI                                        ;;;IC;Invest Cont ;440
211404004;12/31/2020 12:00:00 AM;12/31/2020 12:00:00 AM;935;14;Pacific    ;1409;1;310;BURGLARY                                                ;0344 1606                              ;0;X;X;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;310
201412458;06/17/2020 12:00:00 AM;06/17/2020 12:00:00 AM;1930;14;Pacific    ;1431;2;624;BATTERY - SIMPLE ASSAULT                                ;0400 0417 0315                         ;21;F;W;406;OTHER STORE                                 ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;624
201415076;08/07/2020 12:00:00 AM;08/03/2020 12:00:00 AM;2200;14;Pacific    ;1449;1;330;BURGLARY FROM VEHICLE                                   ;1601 0344 0321                         ;53;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;330
201416931;09/06/2020 12:00:00 AM;08/20/2020 12:00:00 AM;1605;14;Pacific    ;1402;2;354;THEFT OF IDENTITY                                       ;0377                                   ;45;F;B;116;OTHER/OUTSIDE                               ;;;IC;Invest Cont ;354
201410142;04/27/2020 12:00:00 AM;04/23/2020 12:00:00 AM;1600;14;Pacific    ;1469;1;480;BIKE - STOLEN                                           ;0334                                   ;33;M;W;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;480
201407794;03/05/2020 12:00:00 AM;03/05/2020 12:00:00 AM;1100;14;Pacific    ;1412;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;26;M;W;102;SIDEWALK                                    ;;;IC;Invest Cont ;440
201404939;01/15/2020 12:00:00 AM;01/14/2020 12:00:00 AM;2200;14;Pacific    ;1431;1;310;BURGLARY                                                ;0321 0344                              ;31;M;W;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;310
201411538;05/28/2020 12:00:00 AM;05/25/2020 12:00:00 AM;100;14;Pacific    ;1413;1;310;BURGLARY                                                ;0344 0394                              ;0;X;X;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;310
201419642;11/03/2020 12:00:00 AM;11/03/2020 12:00:00 AM;530;14;Pacific    ;1479;1;510;VEHICLE - STOLEN                                        ;;0;;;104;DRIVEWAY                                    ;;;IC;Invest Cont ;510
201418494;10/10/2020 12:00:00 AM;10/10/2020 12:00:00 AM;540;14;Pacific    ;1455;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
201419328;10/26/2020 12:00:00 AM;10/25/2020 12:00:00 AM;2300;14;Pacific    ;1455;1;310;BURGLARY                                                ;1606 0344 1300                         ;83;M;W;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;310
201407431;02/27/2020 12:00:00 AM;02/27/2020 12:00:00 AM;2100;14;Pacific    ;1456;2;888;TRESPASSING                                             ;1501                                   ;46;F;H;501;SINGLE FAMILY DWELLING                      ;;;AO;Adult Other ;888
201421711;12/16/2020 12:00:00 AM;12/16/2020 12:00:00 AM;1815;14;Pacific    ;1431;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329                                   ;65;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;740
201419400;10/28/2020 12:00:00 AM;10/28/2020 12:00:00 AM;2050;14;Pacific    ;1434;1;320;BURGLARY, ATTEMPTED                                     ;1501 1603 0314                         ;65;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;320
201413200;07/03/2020 12:00:00 AM;07/03/2020 12:00:00 AM;1410;14;Pacific    ;1402;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;0;X;X;203;OTHER BUSINESS                              ;;;AA;Adult Arrest;440
201414075;07/20/2020 12:00:00 AM;07/20/2020 12:00:00 AM;2100;14;Pacific    ;1407;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
201417484;09/20/2020 12:00:00 AM;09/20/2020 12:00:00 AM;900;14;Pacific    ;1444;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0344 1606                              ;51;F;H;108;PARKING LOT                                 ;;;AO;Adult Other ;420
201409357;04/06/2020 12:00:00 AM;04/06/2020 12:00:00 AM;2130;14;Pacific    ;1434;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 0394                              ;35;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;440
201418459;10/09/2020 12:00:00 AM;09/27/2020 12:00:00 AM;1300;14;Pacific    ;1412;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
201407858;03/07/2020 12:00:00 AM;03/07/2020 12:00:00 AM;320;14;Pacific    ;1437;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;1218 2004 0913 0400 0416               ;28;M;W;101;STREET                                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;230
201412944;06/27/2020 12:00:00 AM;06/24/2020 12:00:00 AM;1800;14;Pacific    ;1465;1;480;BIKE - STOLEN                                           ;0344                                   ;49;M;O;710;OTHER PREMISE                               ;;;IC;Invest Cont ;480
201418816;10/16/2020 12:00:00 AM;10/16/2020 12:00:00 AM;1645;14;Pacific    ;1431;2;624;BATTERY - SIMPLE ASSAULT                                ;0400 1822                              ;42;M;B;109;PARK/PLAYGROUND                             ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
201420009;10/29/2020 12:00:00 AM;10/29/2020 12:00:00 AM;1145;14;Pacific    ;1454;1;480;BIKE - STOLEN                                           ;0344                                   ;43;M;B;710;OTHER PREMISE                               ;;;IC;Invest Cont ;480
201419747;11/04/2020 12:00:00 AM;11/04/2020 12:00:00 AM;2200;14;Pacific    ;1446;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329                                   ;42;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;740
201412690;06/22/2020 12:00:00 AM;06/18/2020 12:00:00 AM;200;14;Pacific    ;1424;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;0344                                   ;26;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;331
201413409;07/07/2020 12:00:00 AM;06/10/2020 12:00:00 AM;1000;14;Pacific    ;1441;1;310;BURGLARY                                                ;0344                                   ;22;M;W;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;310
201416031;08/24/2020 12:00:00 AM;08/24/2020 12:00:00 AM;103;14;Pacific    ;1474;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329                                   ;0;X;X;301;GAS STATION                                 ;;;IC;Invest Cont ;740
