DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
201910778;06/10/2020 12:00:00 AM;06/10/2020 12:00:00 AM;1200;19;Mission    ;1972;1;236;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;1202 0913 1813 0416 2000               ;60;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;236
201910731;06/10/2020 12:00:00 AM;06/10/2020 12:00:00 AM;10;19;Mission    ;1902;1;210;ROBBERY                                                 ;0344 0334 0355 0336 1313 0420 1822 0209;17;M;H;101;STREET                                      ;113;SIMULATED GUN                                 ;IC;Invest Cont ;210
201909058;04/24/2020 12:00:00 AM;04/24/2020 12:00:00 AM;545;19;Mission    ;1961;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0416 0411 1218 2060 0913 1203 0906     ;44;M;H;110;FREEWAY                                     ;200;KNIFE WITH BLADE 6INCHES OR LESS              ;AO;Adult Other ;230
201907543;03/12/2020 12:00:00 AM;02/09/2020 12:00:00 AM;1815;19;Mission    ;1983;2;668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;0344 1300                              ;0;M;O;108;PARKING LOT                                 ;;;IC;Invest Cont ;668
201908903;04/19/2020 12:00:00 AM;04/19/2020 12:00:00 AM;1500;19;Mission    ;1971;2;901;VIOLATION OF RESTRAINING ORDER                          ;2038 2004 1402 1814 0906               ;31;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;901
201907959;03/23/2020 12:00:00 AM;03/21/2020 12:00:00 AM;2000;19;Mission    ;1988;1;330;BURGLARY FROM VEHICLE                                   ;0344 1302                              ;53;M;H;101;STREET                                      ;;;IC;Invest Cont ;330
201906728;02/25/2020 12:00:00 AM;02/24/2020 12:00:00 AM;2100;19;Mission    ;1984;1;210;ROBBERY                                                 ;0416 0429 0417 0906 1817 1218 0913 0344;49;M;A;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;210
201907156;03/05/2020 12:00:00 AM;02/25/2020 12:00:00 AM;1700;19;Mission    ;1967;2;661;UNAUTHORIZED COMPUTER ACCESS                            ;1914                                   ;83;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;661
201914328;09/08/2020 12:00:00 AM;09/08/2020 12:00:00 AM;1300;19;Mission    ;1962;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0416 1822 0345 0429 2034               ;74;F;A;708;CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEM;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;230
201910265;05/26/2020 12:00:00 AM;05/25/2020 12:00:00 AM;1600;19;Mission    ;1917;1;330;BURGLARY FROM VEHICLE                                   ;1609 0344 1302                         ;34;F;W;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
