DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
212105223;02/06/2021 12:00:00 AM;02/04/2021 12:00:00 AM;1944;21;Topanga    
212107260;04/02/2021 12:00:00 AM;04/02/2021 12:00:00 AM;430;21;Topanga    
212108012;04/16/2021 12:00:00 AM;04/15/2021 12:00:00 AM;800;21;Topanga    
212114584;09/29/2021 12:00:00 AM;09/29/2021 12:00:00 AM;2310;21;Topanga    
212117176;12/04/2021 12:00:00 AM;12/02/2021 12:00:00 AM;2240;21;Topanga    
212112982;08/23/2021 12:00:00 AM;08/23/2021 12:00:00 AM;1501;21;Topanga    
212109427;05/27/2021 12:00:00 AM;05/26/2021 12:00:00 AM;2230;21;Topanga    
212117273;12/06/2021 12:00:00 AM;07/01/2021 12:00:00 AM;600;21;Topanga    
212110796;07/01/2021 12:00:00 AM;07/01/2021 12:00:00 AM;310;21;Topanga    
212111141;07/07/2021 12:00:00 AM;07/06/2021 12:00:00 AM;1800;21;Topanga    
212111736;07/23/2021 12:00:00 AM;07/23/2021 12:00:00 AM;1200;21;Topanga    
212115098;10/12/2021 12:00:00 AM;10/12/2021 12:00:00 AM;1;21;Topanga    
212113770;09/11/2021 12:00:00 AM;09/11/2021 12:00:00 AM;2205;21;Topanga    
212110354;06/20/2021 12:00:00 AM;06/20/2021 12:00:00 AM;2015;21;Topanga    
212113440;09/03/2021 12:00:00 AM;09/03/2021 12:00:00 AM;900;21;Topanga    
212105877;02/24/2021 12:00:00 AM;02/23/2021 12:00:00 AM;1930;21;Topanga    
212110631;06/26/2021 12:00:00 AM;06/26/2021 12:00:00 AM;1530;21;Topanga    
212108023;04/21/2021 12:00:00 AM;03/26/2021 12:00:00 AM;1500;21;Topanga    
212110706;06/27/2021 12:00:00 AM;06/27/2021 12:00:00 AM;425;21;Topanga    
212113479;09/04/2021 12:00:00 AM;09/04/2021 12:00:00 AM;2335;21;Topanga    
212104511;01/16/2021 12:00:00 AM;01/15/2021 12:00:00 AM;1930;21;Topanga    
212117949;12/25/2021 12:00:00 AM;12/23/2021 12:00:00 AM;1700;21;Topanga    
212108724;05/10/2021 12:00:00 AM;05/08/2021 12:00:00 AM;1900;21;Topanga    
212111592;07/19/2021 12:00:00 AM;07/19/2021 12:00:00 AM;400;21;Topanga    
212100919;12/19/2021 12:00:00 AM;12/18/2021 12:00:00 AM;2130;21;Topanga    
212116070;11/04/2021 12:00:00 AM;11/04/2021 12:00:00 AM;1950;21;Topanga    
212108309;04/29/2021 12:00:00 AM;04/29/2021 12:00:00 AM;1700;21;Topanga    
212104947;01/28/2021 12:00:00 AM;01/25/2021 12:00:00 AM;1625;21;Topanga    
212114136;09/20/2021 12:00:00 AM;09/20/2021 12:00:00 AM;1020;21;Topanga    
212109449;05/28/2021 12:00:00 AM;05/23/2021 12:00:00 AM;315;21;Topanga    
212107126;03/29/2021 12:00:00 AM;03/24/2021 12:00:00 AM;1600;21;Topanga    
212115560;10/23/2021 12:00:00 AM;10/23/2021 12:00:00 AM;1655;21;Topanga    
212109451;05/29/2021 12:00:00 AM;04/21/2021 12:00:00 AM;915;21;Topanga    
212105324;02/07/2021 12:00:00 AM;02/07/2021 12:00:00 AM;1515;21;Topanga    
212104748;01/20/2021 12:00:00 AM;01/20/2021 12:00:00 AM;230;21;Topanga    
212108166;04/26/2021 12:00:00 AM;04/25/2021 12:00:00 AM;1600;21;Topanga    
212100695;07/04/2021 12:00:00 AM;07/04/2021 12:00:00 AM;720;21;Topanga    
212104638;01/19/2021 12:00:00 AM;01/19/2021 12:00:00 AM;1500;21;Topanga    
212111554;07/18/2021 12:00:00 AM;07/18/2021 12:00:00 AM;1929;21;Topanga    
212108657;05/09/2021 12:00:00 AM;05/08/2021 12:00:00 AM;1900;21;Topanga    
212116541;11/16/2021 12:00:00 AM;11/16/2021 12:00:00 AM;1010;21;Topanga    
212108102;04/24/2021 12:00:00 AM;04/23/2021 12:00:00 AM;1530;21;Topanga    
212110751;06/29/2021 12:00:00 AM;06/06/2021 12:00:00 AM;1900;21;Topanga    
212105086;02/01/2021 12:00:00 AM;01/31/2021 12:00:00 AM;1;21;Topanga    
212116543;11/16/2021 12:00:00 AM;11/13/2021 12:00:00 AM;1630;21;Topanga    
212117001;11/29/2021 12:00:00 AM;11/29/2021 12:00:00 AM;1600;21;Topanga    
212113183;08/28/2021 12:00:00 AM;08/28/2021 12:00:00 AM;1600;21;Topanga    
212107657;04/12/2021 12:00:00 AM;04/12/2021 12:00:00 AM;2000;21;Topanga    
212115938;11/01/2021 12:00:00 AM;10/31/2021 12:00:00 AM;2200;21;Topanga    
212108814;05/12/2021 12:00:00 AM;05/08/2021 12:00:00 AM;800;21;Topanga    
212114395;09/26/2021 12:00:00 AM;09/25/2021 12:00:00 AM;2030;21;Topanga    
212111130;07/08/2021 12:00:00 AM;07/08/2021 12:00:00 AM;1900;21;Topanga    
212109169;05/21/2021 12:00:00 AM;05/15/2021 12:00:00 AM;1130;21;Topanga    
212114797;10/05/2021 12:00:00 AM;09/20/2021 12:00:00 AM;1000;21;Topanga    
212109763;06/05/2021 12:00:00 AM;06/02/2021 12:00:00 AM;1651;21;Topanga    
212105436;02/12/2021 12:00:00 AM;02/09/2021 12:00:00 AM;1800;21;Topanga    
212106787;03/21/2021 12:00:00 AM;03/21/2021 12:00:00 AM;100;21;Topanga    
222107134;03/22/2022 12:00:00 AM;11/23/2021 12:00:00 AM;1200;21;Topanga    
212105816;02/20/2021 12:00:00 AM;02/14/2021 12:00:00 AM;1730;21;Topanga    
212104382;01/12/2021 12:00:00 AM;01/12/2021 12:00:00 AM;1100;21;Topanga    
212106448;03/11/2021 12:00:00 AM;02/28/2021 12:00:00 AM;126;21;Topanga    
212106113;03/02/2021 12:00:00 AM;02/28/2021 12:00:00 AM;2200;21;Topanga    
212113206;08/28/2021 12:00:00 AM;08/27/2021 12:00:00 AM;1200;21;Topanga    
212113780;09/12/2021 12:00:00 AM;09/11/2021 12:00:00 AM;1900;21;Topanga    
212107547;04/10/2021 12:00:00 AM;03/24/2021 12:00:00 AM;2325;21;Topanga    
212117055;11/30/2021 12:00:00 AM;11/17/2021 12:00:00 AM;1311;21;Topanga    
212116821;11/23/2021 12:00:00 AM;11/23/2021 12:00:00 AM;1650;21;Topanga    
212113027;08/21/2021 12:00:00 AM;08/21/2021 12:00:00 AM;1635;21;Topanga    
212111834;07/25/2021 12:00:00 AM;07/24/2021 12:00:00 AM;1910;21;Topanga    
212114276;09/23/2021 12:00:00 AM;08/26/2021 12:00:00 AM;1;21;Topanga    
212117724;12/19/2021 12:00:00 AM;12/18/2021 12:00:00 AM;2100;21;Topanga    
212116502;11/15/2021 12:00:00 AM;10/25/2021 12:00:00 AM;1800;21;Topanga    
212109493;05/31/2021 12:00:00 AM;05/30/2021 12:00:00 AM;1800;21;Topanga    
212108011;04/21/2021 12:00:00 AM;04/20/2021 12:00:00 AM;1304;21;Topanga    
212107425;04/02/2021 12:00:00 AM;03/28/2021 12:00:00 AM;1500;21;Topanga    
212110660;06/27/2021 12:00:00 AM;06/27/2021 12:00:00 AM;1100;21;Topanga    
222104358;01/11/2022 12:00:00 AM;12/18/2021 12:00:00 AM;1300;21;Topanga    
212104868;01/26/2021 12:00:00 AM;01/24/2021 12:00:00 AM;2359;21;Topanga    
212110854;06/30/2021 12:00:00 AM;06/01/2021 12:00:00 AM;1500;21;Topanga    
