DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
210620570;12/17/2021 12:00:00 AM;12/17/2021 12:00:00 AM;850;6;Hollywood  
210620089;12/07/2021 12:00:00 AM;12/07/2021 12:00:00 AM;1630;6;Hollywood  
210609554;05/09/2021 12:00:00 AM;05/08/2021 12:00:00 AM;2100;6;Hollywood  
210614868;08/24/2021 12:00:00 AM;08/24/2021 12:00:00 AM;2145;6;Hollywood  
210613897;08/06/2021 12:00:00 AM;08/06/2021 12:00:00 AM;900;6;Hollywood  
210606494;03/01/2021 12:00:00 AM;03/01/2021 12:00:00 AM;2050;6;Hollywood  
210619738;11/29/2021 12:00:00 AM;11/22/2021 12:00:00 AM;2030;6;Hollywood  
210606147;02/21/2021 12:00:00 AM;02/20/2021 12:00:00 AM;2350;6;Hollywood  
220606652;02/26/2022 12:00:00 AM;10/01/2021 12:00:00 AM;1300;6;Hollywood  
210616234;09/21/2021 12:00:00 AM;09/19/2021 12:00:00 AM;2150;6;Hollywood  
210611251;06/15/2021 12:00:00 AM;06/15/2021 12:00:00 AM;1000;6;Hollywood  
210617563;10/14/2021 12:00:00 AM;10/14/2021 12:00:00 AM;1535;6;Hollywood  
210612673;07/13/2021 12:00:00 AM;07/13/2021 12:00:00 AM;1715;6;Hollywood  
210618182;10/30/2021 12:00:00 AM;10/28/2021 12:00:00 AM;1045;6;Hollywood  
210609793;05/15/2021 12:00:00 AM;05/15/2021 12:00:00 AM;445;6;Hollywood  
210620672;12/22/2021 12:00:00 AM;12/21/2021 12:00:00 AM;1;6;Hollywood  
210611855;06/27/2021 12:00:00 AM;06/27/2021 12:00:00 AM;1120;6;Hollywood  
210616103;09/18/2021 12:00:00 AM;09/18/2021 12:00:00 AM;2100;6;Hollywood  
210608862;04/22/2021 12:00:00 AM;04/22/2021 12:00:00 AM;1900;6;Hollywood  
210615269;09/01/2021 12:00:00 AM;03/24/2021 12:00:00 AM;1800;6;Hollywood  
210614388;08/16/2021 12:00:00 AM;08/15/2021 12:00:00 AM;2120;6;Hollywood  
210613404;07/27/2021 12:00:00 AM;07/27/2021 12:00:00 AM;1830;6;Hollywood  
210614658;08/21/2021 12:00:00 AM;08/21/2021 12:00:00 AM;1720;6;Hollywood  
210615116;08/29/2021 12:00:00 AM;08/28/2021 12:00:00 AM;2230;6;Hollywood  
210610682;06/04/2021 12:00:00 AM;06/04/2021 12:00:00 AM;1130;6;Hollywood  
210609011;04/27/2021 12:00:00 AM;04/26/2021 12:00:00 AM;1700;6;Hollywood  
210618572;11/04/2021 12:00:00 AM;09/17/2021 12:00:00 AM;2030;6;Hollywood  
210604343;01/10/2021 12:00:00 AM;01/10/2021 12:00:00 AM;1500;6;Hollywood  
210620515;12/17/2021 12:00:00 AM;12/17/2021 12:00:00 AM;1800;6;Hollywood  
210619762;11/30/2021 12:00:00 AM;11/30/2021 12:00:00 AM;430;6;Hollywood  
210617929;10/20/2021 12:00:00 AM;10/19/2021 12:00:00 AM;1530;6;Hollywood  
210617543;10/18/2021 12:00:00 AM;10/18/2021 12:00:00 AM;445;6;Hollywood  
210618247;10/31/2021 12:00:00 AM;10/31/2021 12:00:00 AM;530;6;Hollywood  
210605742;02/11/2021 12:00:00 AM;02/10/2021 12:00:00 AM;1645;6;Hollywood  
210608700;04/20/2021 12:00:00 AM;04/19/2021 12:00:00 AM;2345;6;Hollywood  
210620589;12/19/2021 12:00:00 AM;12/19/2021 12:00:00 AM;1450;6;Hollywood  
210616728;09/30/2021 12:00:00 AM;09/30/2021 12:00:00 AM;2325;6;Hollywood  
210617768;10/20/2021 12:00:00 AM;09/24/2021 12:00:00 AM;2021;6;Hollywood  
210604637;01/17/2021 12:00:00 AM;01/17/2021 12:00:00 AM;2000;6;Hollywood  
210608668;04/19/2021 12:00:00 AM;04/19/2021 12:00:00 AM;1230;6;Hollywood  
210604196;01/07/2021 12:00:00 AM;01/06/2021 12:00:00 AM;1900;6;Hollywood  
210611442;06/19/2021 12:00:00 AM;06/18/2021 12:00:00 AM;1920;6;Hollywood  
210604834;01/18/2021 12:00:00 AM;01/18/2021 12:00:00 AM;1340;6;Hollywood  
210608676;04/19/2021 12:00:00 AM;04/09/2021 12:00:00 AM;2125;6;Hollywood  
210605814;02/13/2021 12:00:00 AM;02/12/2021 12:00:00 AM;2000;6;Hollywood  
210607313;03/22/2021 12:00:00 AM;03/21/2021 12:00:00 AM;2200;6;Hollywood  
210607615;03/28/2021 12:00:00 AM;03/28/2021 12:00:00 AM;30;6;Hollywood  
210606023;02/18/2021 12:00:00 AM;02/04/2021 12:00:00 AM;1200;6;Hollywood  
210614130;08/11/2021 12:00:00 AM;08/02/2021 12:00:00 AM;1110;6;Hollywood  
210610490;05/31/2021 12:00:00 AM;05/31/2021 12:00:00 AM;1630;6;Hollywood  
210617345;10/13/2021 12:00:00 AM;10/13/2021 12:00:00 AM;1615;6;Hollywood  
210609771;05/15/2021 12:00:00 AM;05/14/2021 12:00:00 AM;1300;6;Hollywood  
210611553;06/21/2021 12:00:00 AM;06/20/2021 12:00:00 AM;1600;6;Hollywood  
210618716;11/07/2021 12:00:00 AM;11/06/2021 12:00:00 AM;430;6;Hollywood  
210616515;09/27/2021 12:00:00 AM;09/27/2021 12:00:00 AM;230;6;Hollywood  
210612317;07/07/2021 12:00:00 AM;07/07/2021 12:00:00 AM;1200;6;Hollywood  
210618306;10/30/2021 12:00:00 AM;10/30/2021 12:00:00 AM;1950;6;Hollywood  
210608208;04/10/2021 12:00:00 AM;04/10/2021 12:00:00 AM;2125;6;Hollywood  
210618457;11/02/2021 12:00:00 AM;11/02/2021 12:00:00 AM;1415;6;Hollywood  
210606869;03/10/2021 12:00:00 AM;03/10/2021 12:00:00 AM;1400;6;Hollywood  
210616623;09/28/2021 12:00:00 AM;09/27/2021 12:00:00 AM;1200;6;Hollywood  
210611355;06/17/2021 12:00:00 AM;06/17/2021 12:00:00 AM;20;6;Hollywood  
210606957;03/12/2021 12:00:00 AM;03/12/2021 12:00:00 AM;1640;6;Hollywood  
210615999;09/16/2021 12:00:00 AM;09/16/2021 12:00:00 AM;1845;6;Hollywood  
210610106;05/22/2021 12:00:00 AM;04/20/2021 12:00:00 AM;1;6;Hollywood  
210616072;09/18/2021 12:00:00 AM;03/23/2021 12:00:00 AM;1200;6;Hollywood  
210606471;02/28/2021 12:00:00 AM;02/28/2021 12:00:00 AM;2250;6;Hollywood  
210607203;03/19/2021 12:00:00 AM;03/18/2021 12:00:00 AM;2325;6;Hollywood  
210618628;11/04/2021 12:00:00 AM;11/02/2021 12:00:00 AM;2000;6;Hollywood  
210620758;12/23/2021 12:00:00 AM;12/23/2021 12:00:00 AM;1850;6;Hollywood  
210609593;05/10/2021 12:00:00 AM;04/30/2021 12:00:00 AM;1230;6;Hollywood  
210619612;11/26/2021 12:00:00 AM;11/26/2021 12:00:00 AM;500;6;Hollywood  
210612792;07/16/2021 12:00:00 AM;07/16/2021 12:00:00 AM;1400;6;Hollywood  
210607901;04/02/2021 12:00:00 AM;04/02/2021 12:00:00 AM;2000;6;Hollywood  
210614506;08/18/2021 12:00:00 AM;08/17/2021 12:00:00 AM;1630;6;Hollywood  
210610303;05/26/2021 12:00:00 AM;05/26/2021 12:00:00 AM;350;6;Hollywood  
210615443;09/05/2021 12:00:00 AM;09/05/2021 12:00:00 AM;1100;6;Hollywood  
210609006;04/27/2021 12:00:00 AM;04/07/2021 12:00:00 AM;1645;6;Hollywood  
210608239;04/11/2021 12:00:00 AM;04/11/2021 12:00:00 AM;1330;6;Hollywood  
210619443;11/22/2021 12:00:00 AM;11/22/2021 12:00:00 AM;2100;6;Hollywood  
210613554;07/30/2021 12:00:00 AM;07/30/2021 12:00:00 AM;1850;6;Hollywood  
210614565;08/19/2021 12:00:00 AM;08/19/2021 12:00:00 AM;635;6;Hollywood  
210605492;02/05/2021 12:00:00 AM;02/05/2021 12:00:00 AM;1205;6;Hollywood  
210616297;09/20/2021 12:00:00 AM;09/20/2021 12:00:00 AM;1640;6;Hollywood  
210618129;10/29/2021 12:00:00 AM;10/28/2021 12:00:00 AM;245;6;Hollywood  
210614028;08/09/2021 12:00:00 AM;08/07/2021 12:00:00 AM;100;6;Hollywood  
210612658;07/13/2021 12:00:00 AM;04/08/2021 12:00:00 AM;1300;6;Hollywood  
210610239;05/24/2021 12:00:00 AM;05/24/2021 12:00:00 AM;1730;6;Hollywood  
210613618;08/01/2021 12:00:00 AM;08/01/2021 12:00:00 AM;1000;6;Hollywood  
210608774;04/22/2021 12:00:00 AM;04/13/2021 12:00:00 AM;1120;6;Hollywood  
210618592;11/04/2021 12:00:00 AM;11/04/2021 12:00:00 AM;2120;6;Hollywood  
210618920;11/11/2021 12:00:00 AM;11/10/2021 12:00:00 AM;1800;6;Hollywood  
210611864;06/28/2021 12:00:00 AM;06/27/2021 12:00:00 AM;2335;6;Hollywood  
210618836;11/09/2021 12:00:00 AM;11/07/2021 12:00:00 AM;2015;6;Hollywood  
210619224;11/17/2021 12:00:00 AM;11/17/2021 12:00:00 AM;1255;6;Hollywood  
210605078;01/28/2021 12:00:00 AM;01/28/2021 12:00:00 AM;1330;6;Hollywood  
210614736;08/10/2021 12:00:00 AM;08/10/2021 12:00:00 AM;1615;6;Hollywood  
210609382;05/05/2021 12:00:00 AM;05/05/2021 12:00:00 AM;5;6;Hollywood  
210611270;06/15/2021 12:00:00 AM;06/12/2021 12:00:00 AM;1455;6;Hollywood  
210620760;12/24/2021 12:00:00 AM;12/24/2021 12:00:00 AM;1045;6;Hollywood  
210619713;11/29/2021 12:00:00 AM;11/28/2021 12:00:00 AM;1900;6;Hollywood  
210611320;06/16/2021 12:00:00 AM;06/16/2021 12:00:00 AM;1525;6;Hollywood  
210604415;01/12/2021 12:00:00 AM;01/11/2021 12:00:00 AM;100;6;Hollywood  
210607021;03/13/2021 12:00:00 AM;03/13/2021 12:00:00 AM;2105;6;Hollywood  
210615270;09/01/2021 12:00:00 AM;09/01/2021 12:00:00 AM;750;6;Hollywood  
210616736;10/01/2021 12:00:00 AM;09/17/2021 12:00:00 AM;1430;6;Hollywood  
210607892;04/02/2021 12:00:00 AM;04/02/2021 12:00:00 AM;500;6;Hollywood  
210612444;07/09/2021 12:00:00 AM;07/07/2021 12:00:00 AM;2200;6;Hollywood  
210618435;10/31/2021 12:00:00 AM;10/23/2021 12:00:00 AM;2050;6;Hollywood  
210617614;10/19/2021 12:00:00 AM;10/19/2021 12:00:00 AM;405;6;Hollywood  
210609942;05/18/2021 12:00:00 AM;05/18/2021 12:00:00 AM;1905;6;Hollywood  
210607652;03/29/2021 12:00:00 AM;03/25/2021 12:00:00 AM;1730;6;Hollywood  
210610380;05/27/2021 12:00:00 AM;05/27/2021 12:00:00 AM;2200;6;Hollywood  
210617456;10/16/2021 12:00:00 AM;08/30/2021 12:00:00 AM;30;6;Hollywood  
210619921;12/04/2021 12:00:00 AM;12/04/2021 12:00:00 AM;45;6;Hollywood  
210609825;05/16/2021 12:00:00 AM;05/15/2021 12:00:00 AM;2200;6;Hollywood  
210614127;08/11/2021 12:00:00 AM;08/11/2021 12:00:00 AM;300;6;Hollywood  
210615980;09/16/2021 12:00:00 AM;09/16/2021 12:00:00 AM;530;6;Hollywood  
210618298;10/31/2021 12:00:00 AM;10/31/2021 12:00:00 AM;100;6;Hollywood  
210612702;07/14/2021 12:00:00 AM;07/14/2021 12:00:00 AM;1220;6;Hollywood  
210610193;05/23/2021 12:00:00 AM;05/22/2021 12:00:00 AM;2300;6;Hollywood  
210613338;07/26/2021 12:00:00 AM;07/26/2021 12:00:00 AM;900;6;Hollywood  
210616907;10/04/2021 12:00:00 AM;09/30/2021 12:00:00 AM;150;6;Hollywood  
210618331;11/01/2021 12:00:00 AM;10/30/2021 12:00:00 AM;245;6;Hollywood  
210618647;11/05/2021 12:00:00 AM;11/05/2021 12:00:00 AM;1540;6;Hollywood  
210616241;09/21/2021 12:00:00 AM;09/14/2021 12:00:00 AM;2200;6;Hollywood  
210612685;07/13/2021 12:00:00 AM;07/13/2021 12:00:00 AM;2225;6;Hollywood  
210608950;04/26/2021 12:00:00 AM;04/26/2021 12:00:00 AM;330;6;Hollywood  
210607674;03/29/2021 12:00:00 AM;03/29/2021 12:00:00 AM;1730;6;Hollywood  
210607227;03/19/2021 12:00:00 AM;03/12/2021 12:00:00 AM;2010;6;Hollywood  
210616227;09/21/2021 12:00:00 AM;09/15/2021 12:00:00 AM;1900;6;Hollywood  
210616098;09/19/2021 12:00:00 AM;09/19/2021 12:00:00 AM;130;6;Hollywood  
210610895;05/29/2021 12:00:00 AM;05/29/2021 12:00:00 AM;1640;6;Hollywood  
210618844;11/09/2021 12:00:00 AM;10/04/2021 12:00:00 AM;910;6;Hollywood  
210604168;01/06/2021 12:00:00 AM;01/05/2021 12:00:00 AM;1500;6;Hollywood  
210619911;12/03/2021 12:00:00 AM;12/01/2021 12:00:00 AM;2306;6;Hollywood  
210615878;09/14/2021 12:00:00 AM;09/14/2021 12:00:00 AM;1340;6;Hollywood  
210618588;11/05/2021 12:00:00 AM;11/05/2021 12:00:00 AM;855;6;Hollywood  
210620135;12/08/2021 12:00:00 AM;11/29/2021 12:00:00 AM;2300;6;Hollywood  
210600507;03/04/2021 12:00:00 AM;03/04/2021 12:00:00 AM;1500;6;Hollywood  
210620212;12/10/2021 12:00:00 AM;12/09/2021 12:00:00 AM;1200;6;Hollywood  
210607251;03/19/2021 12:00:00 AM;03/19/2021 12:00:00 AM;430;6;Hollywood  
210614006;08/08/2021 12:00:00 AM;07/31/2021 12:00:00 AM;1615;6;Hollywood  
210607300;03/21/2021 12:00:00 AM;03/20/2021 12:00:00 AM;1200;6;Hollywood  
210619512;11/24/2021 12:00:00 AM;11/24/2021 12:00:00 AM;550;6;Hollywood  
210615543;09/07/2021 12:00:00 AM;09/07/2021 12:00:00 AM;130;6;Hollywood  
210609896;05/17/2021 12:00:00 AM;05/15/2021 12:00:00 AM;2035;6;Hollywood  
210606313;02/25/2021 12:00:00 AM;02/08/2021 12:00:00 AM;200;6;Hollywood  
210616195;09/20/2021 12:00:00 AM;09/20/2021 12:00:00 AM;2100;6;Hollywood  
210620293;12/12/2021 12:00:00 AM;12/10/2021 12:00:00 AM;50;6;Hollywood  
210612910;07/18/2021 12:00:00 AM;07/18/2021 12:00:00 AM;2130;6;Hollywood  
210620325;12/13/2021 12:00:00 AM;12/08/2021 12:00:00 AM;2300;6;Hollywood  
210614385;08/16/2021 12:00:00 AM;08/14/2021 12:00:00 AM;130;6;Hollywood  
210611914;06/20/2021 12:00:00 AM;06/20/2021 12:00:00 AM;825;6;Hollywood  
210605038;01/26/2021 12:00:00 AM;01/11/2021 12:00:00 AM;830;6;Hollywood  
210614854;08/23/2021 12:00:00 AM;08/23/2021 12:00:00 AM;2300;6;Hollywood  
210611775;06/26/2021 12:00:00 AM;06/25/2021 12:00:00 AM;1030;6;Hollywood  
210611650;06/23/2021 12:00:00 AM;06/21/2021 12:00:00 AM;1100;6;Hollywood  
210612125;07/03/2021 12:00:00 AM;07/03/2021 12:00:00 AM;547;6;Hollywood  
210617468;10/16/2021 12:00:00 AM;10/16/2021 12:00:00 AM;100;6;Hollywood  
210616529;09/27/2021 12:00:00 AM;09/13/2021 12:00:00 AM;2358;6;Hollywood  
210617081;10/06/2021 12:00:00 AM;10/06/2021 12:00:00 AM;1015;6;Hollywood  
210620421;12/15/2021 12:00:00 AM;09/06/2021 12:00:00 AM;1200;6;Hollywood  
210618626;11/04/2021 12:00:00 AM;10/29/2021 12:00:00 AM;1445;6;Hollywood  
220614510;08/11/2022 12:00:00 AM;10/11/2021 12:00:00 AM;1345;6;Hollywood  
210613082;07/19/2021 12:00:00 AM;07/14/2021 12:00:00 AM;1057;6;Hollywood  
210609928;05/18/2021 12:00:00 AM;05/18/2021 12:00:00 AM;1139;6;Hollywood  
210617717;10/19/2021 12:00:00 AM;10/18/2021 12:00:00 AM;2100;6;Hollywood  
210609934;05/18/2021 12:00:00 AM;05/15/2021 12:00:00 AM;1230;6;Hollywood  
210605828;02/13/2021 12:00:00 AM;02/13/2021 12:00:00 AM;1450;6;Hollywood  
