DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
200604993;01/22/2020 12:00:00 AM;01/21/2020 12:00:00 AM;2300;6;Hollywood  ;628;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;1300 0400 0329 2000 1813               ;38;M;W;101;STREET                                      ;310;CONCRETE BLOCK/BRICK                          ;IC;Invest Cont ;740
200615064;09/07/2020 12:00:00 AM;09/06/2020 12:00:00 AM;315;6;Hollywood  ;642;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 1300 1822                         ;0;X;X;210;RESTAURANT/FAST FOOD                        ;;;IC;Invest Cont ;440
200615006;09/06/2020 12:00:00 AM;09/05/2020 12:00:00 AM;130;6;Hollywood  ;644;2;888;TRESPASSING                                             ;1822                                   ;0;X;X;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;888
200619683;12/26/2020 12:00:00 AM;12/25/2020 12:00:00 AM;2120;6;Hollywood  ;629;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;1814 0400                              ;30;F;O;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;626
200617845;11/02/2020 12:00:00 AM;06/10/2020 12:00:00 AM;845;6;Hollywood  ;627;2;354;THEFT OF IDENTITY                                       ;1822 0929                              ;40;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
200612388;07/09/2020 12:00:00 AM;07/09/2020 12:00:00 AM;300;6;Hollywood  ;678;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0400 0416 0913                         ;17;M;H;102;SIDEWALK                                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;230
200617428;10/31/2020 12:00:00 AM;10/31/2020 12:00:00 AM;1315;6;Hollywood  ;645;1;310;BURGLARY                                                ;1300 0344 1822                         ;51;F;W;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;310
200617625;11/05/2020 12:00:00 AM;11/02/2020 12:00:00 AM;1614;6;Hollywood  ;649;1;761;BRANDISH WEAPON                                         ;0334 1501 1810 0913                    ;53;M;A;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);207;OTHER KNIFE                                   ;IC;Invest Cont ;761
200619822;12/29/2020 12:00:00 AM;12/14/2020 12:00:00 AM;730;6;Hollywood  ;667;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 0554                              ;27;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;440
200619338;12/16/2020 12:00:00 AM;12/16/2020 12:00:00 AM;2040;6;Hollywood  ;622;1;236;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;1300 2000 0416 0400 0913               ;20;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;236
200616522;10/10/2020 12:00:00 AM;10/10/2020 12:00:00 AM;900;6;Hollywood  ;647;2;624;BATTERY - SIMPLE ASSAULT                                ;0400 0416 1822                         ;26;M;H;102;SIDEWALK                                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
200618958;12/07/2020 12:00:00 AM;11/30/2020 12:00:00 AM;1000;6;Hollywood  ;647;2;354;THEFT OF IDENTITY                                       ;0929 1822 0924 0930 0935 0922          ;26;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
200608971;04/11/2020 12:00:00 AM;04/09/2020 12:00:00 AM;1600;6;Hollywood  ;659;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0429 0209                              ;34;M;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;740
200616238;10/03/2020 12:00:00 AM;10/02/2020 12:00:00 AM;630;6;Hollywood  ;648;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;1822 0325                              ;0;X;X;252;COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S,;;;IC;Invest Cont ;440
200617121;10/22/2020 12:00:00 AM;10/18/2020 12:00:00 AM;2000;6;Hollywood  ;643;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 1822 0394                         ;26;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;440
200614755;08/31/2020 12:00:00 AM;08/31/2020 12:00:00 AM;1420;6;Hollywood  ;656;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;1300 0329 1402 1309                    ;42;M;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;745
200609112;04/15/2020 12:00:00 AM;04/14/2020 12:00:00 AM;2330;6;Hollywood  ;649;1;310;BURGLARY                                                ;0344 0329 1607                         ;36;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;310
200612904;07/21/2020 12:00:00 AM;07/21/2020 12:00:00 AM;2130;6;Hollywood  ;645;1;310;BURGLARY                                                ;0344 1822                              ;20;F;B;503;HOTEL                                       ;;;AO;Adult Other ;310
200617248;10/26/2020 12:00:00 AM;10/26/2020 12:00:00 AM;1215;6;Hollywood  ;636;2;755;BOMB SCARE                                              ;0421 0404 1822 1501                    ;32;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);501;BOMB THREAT                                   ;IC;Invest Cont ;755
200613835;08/11/2020 12:00:00 AM;08/11/2020 12:00:00 AM;1700;6;Hollywood  ;659;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;0400 0432 0421 1822 2004               ;58;M;A;118;CONSTRUCTION SITE                           ;511;VERBAL THREAT                                 ;AA;Adult Arrest;930
200612707;07/14/2020 12:00:00 AM;06/18/2020 12:00:00 AM;1135;6;Hollywood  ;663;2;354;THEFT OF IDENTITY                                       ;0930 1822                              ;38;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
