DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
211604780;01/27/2021 12:00:00 AM;01/27/2021 12:00:00 AM;1345;16;Foothill   ;1651
211606715;04/06/2021 12:00:00 AM;04/06/2021 12:00:00 AM;1815;16;Foothill   ;1621
211605714;03/01/2021 12:00:00 AM;02/19/2021 12:00:00 AM;1300;16;Foothill   ;1612
211614762;12/30/2021 12:00:00 AM;12/11/2021 12:00:00 AM;1;16;Foothill   ;1676
211605234;02/12/2021 12:00:00 AM;02/12/2021 12:00:00 AM;1430;16;Foothill   ;1695
211611582;09/17/2021 12:00:00 AM;09/17/2021 12:00:00 AM;755;16;Foothill   ;1602
211607129;04/21/2021 12:00:00 AM;04/10/2021 12:00:00 AM;730;16;Foothill   ;1678
211608517;06/07/2021 12:00:00 AM;06/06/2021 12:00:00 AM;2010;16;Foothill   ;1602
211608862;06/19/2021 12:00:00 AM;06/19/2021 12:00:00 AM;1345;16;Foothill   ;1633
211609835;07/22/2021 12:00:00 AM;07/20/2021 12:00:00 AM;2000;16;Foothill   ;1684
211607245;04/26/2021 12:00:00 AM;04/26/2021 12:00:00 AM;1650;16;Foothill   ;1681
211614739;12/29/2021 12:00:00 AM;12/12/2021 12:00:00 AM;1500;16;Foothill   ;1682
211607039;04/18/2021 12:00:00 AM;04/16/2021 12:00:00 AM;630;16;Foothill   ;1645
211611798;09/23/2021 12:00:00 AM;08/17/2021 12:00:00 AM;1130;16;Foothill   ;1687
211611970;09/28/2021 12:00:00 AM;08/27/2021 12:00:00 AM;800;16;Foothill   ;1619
211607233;04/25/2021 12:00:00 AM;04/24/2021 12:00:00 AM;1000;16;Foothill   ;1657
211610133;08/02/2021 12:00:00 AM;08/01/2021 12:00:00 AM;2115;16;Foothill   ;1622
211600757;08/11/2021 12:00:00 AM;08/10/2021 12:00:00 AM;1800;16;Foothill   ;1684
211607585;05/07/2021 12:00:00 AM;05/07/2021 12:00:00 AM;1455;16;Foothill   ;1676
211614273;12/12/2021 12:00:00 AM;12/11/2021 12:00:00 AM;1330;16;Foothill   ;1685
211605352;02/17/2021 12:00:00 AM;02/17/2021 12:00:00 AM;2230;16;Foothill   ;1691
211614392;12/15/2021 12:00:00 AM;12/14/2021 12:00:00 AM;800;16;Foothill   ;1612
211608644;06/13/2021 12:00:00 AM;06/13/2021 12:00:00 AM;2310;16;Foothill   ;1695
211607892;05/18/2021 12:00:00 AM;05/17/2021 12:00:00 AM;2250;16;Foothill   ;1667
211613529;11/16/2021 12:00:00 AM;11/11/2021 12:00:00 AM;1700;16;Foothill   ;1656
211610107;07/30/2021 12:00:00 AM;07/30/2021 12:00:00 AM;1500;16;Foothill   ;1638
211605350;02/12/2021 12:00:00 AM;01/01/2021 12:00:00 AM;1200;16;Foothill   ;1642
221604125;01/04/2022 12:00:00 AM;12/26/2021 12:00:00 AM;346;16;Foothill   ;1617
211614063;12/04/2021 12:00:00 AM;12/03/2021 12:00:00 AM;1800;16;Foothill   ;1645
211613489;11/15/2021 12:00:00 AM;11/12/2021 12:00:00 AM;1530;16;Foothill   ;1638
211614031;12/02/2021 12:00:00 AM;12/02/2021 12:00:00 AM;1700;16;Foothill   ;1641
211613644;11/19/2021 12:00:00 AM;11/19/2021 12:00:00 AM;1630;16;Foothill   ;1641
221604052;01/01/2022 12:00:00 AM;05/01/2021 12:00:00 AM;130;16;Foothill   ;1657
211608786;06/16/2021 12:00:00 AM;05/17/2021 12:00:00 AM;1730;16;Foothill   ;1602
211613705;11/22/2021 12:00:00 AM;11/19/2021 12:00:00 AM;1015;16;Foothill   ;1679
211604800;01/29/2021 12:00:00 AM;01/29/2021 12:00:00 AM;940;16;Foothill   ;1601
211614740;12/29/2021 12:00:00 AM;12/29/2021 12:00:00 AM;700;16;Foothill   ;1638
211612711;10/22/2021 12:00:00 AM;10/21/2021 12:00:00 AM;2020;16;Foothill   ;1623
211608825;06/17/2021 12:00:00 AM;06/16/2021 12:00:00 AM;1830;16;Foothill   ;1621
211613050;11/02/2021 12:00:00 AM;06/01/2021 12:00:00 AM;1200;16;Foothill   ;1684
211609619;07/14/2021 12:00:00 AM;07/14/2021 12:00:00 AM;1305;16;Foothill   ;1633
