DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
210405883;02/21/2021 12:00:00 AM;02/18/2021 12:00:00 AM;1700;4;Hollenbeck ;453
210409255;06/02/2021 12:00:00 AM;05/28/2021 12:00:00 AM;1710;4;Hollenbeck ;499
210415564;12/04/2021 12:00:00 AM;12/04/2021 12:00:00 AM;1640;4;Hollenbeck ;421
210406474;03/09/2021 12:00:00 AM;03/09/2021 12:00:00 AM;1100;4;Hollenbeck ;463
210411709;08/12/2021 12:00:00 AM;08/12/2021 12:00:00 AM;1400;4;Hollenbeck ;448
210405278;02/04/2021 12:00:00 AM;02/03/2021 12:00:00 AM;2200;4;Hollenbeck ;424
210409857;06/19/2021 12:00:00 AM;06/17/2021 12:00:00 AM;1312;4;Hollenbeck ;406
210405118;01/30/2021 12:00:00 AM;01/30/2021 12:00:00 AM;545;4;Hollenbeck ;411
210408109;04/29/2021 12:00:00 AM;04/23/2021 12:00:00 AM;1230;4;Hollenbeck ;421
210412752;09/12/2021 12:00:00 AM;09/11/2021 12:00:00 AM;2000;4;Hollenbeck ;477
210400767;05/02/2021 12:00:00 AM;05/02/2021 12:00:00 AM;2110;4;Hollenbeck ;464
210415643;12/07/2021 12:00:00 AM;11/18/2021 12:00:00 AM;1800;4;Hollenbeck ;466
210409716;06/16/2021 12:00:00 AM;06/16/2021 12:00:00 AM;1200;4;Hollenbeck ;478
