DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
200513832;09/06/2020 12:00:00 AM;09/05/2020 12:00:00 AM;2230;5;Harbor     ;516;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0429 0906 1822 0371 0416 2034 0216     ;19;M;H;102;SIDEWALK                                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;230
200515912;10/28/2020 12:00:00 AM;10/27/2020 12:00:00 AM;2106;5;Harbor     ;583;1;343;SHOPLIFTING-GRAND THEFT ($950.01 & OVER)                ;0325 0202 0209                         ;0;X;X;406;OTHER STORE                                 ;;;IC;Invest Cont ;343
200516802;11/16/2020 12:00:00 AM;11/16/2020 12:00:00 AM;1251;5;Harbor     ;564;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0394 0344                              ;19;M;H;119;PORCH, RESIDENTIAL                          ;;;IC;Invest Cont ;440
200517390;12/03/2020 12:00:00 AM;12/03/2020 12:00:00 AM;1250;5;Harbor     ;519;2;900;VIOLATION OF COURT ORDER                                ;0917 2038 1802 1906                    ;29;M;A;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;900
200512511;08/01/2020 12:00:00 AM;07/31/2020 12:00:00 AM;2200;5;Harbor     ;525;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
200510058;05/28/2020 12:00:00 AM;05/28/2020 12:00:00 AM;1205;5;Harbor     ;531;2;888;TRESPASSING                                             ;1501 0209 1202                         ;71;M;A;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;888
200513334;08/24/2020 12:00:00 AM;08/24/2020 12:00:00 AM;1200;5;Harbor     ;558;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;0913 2021 0408 1206 2033 1814 0400 0416;48;F;W;503;HOTEL                                       ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;626
200508991;05/03/2020 12:00:00 AM;05/03/2020 12:00:00 AM;530;5;Harbor     ;513;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;0416 1206 1813 2000 2002 0913 0602 2033;39;F;H;505;MOTEL                                       ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;626
200516787;11/17/2020 12:00:00 AM;11/17/2020 12:00:00 AM;2100;5;Harbor     ;587;1;210;ROBBERY                                                 ;0329 0336 0344 0408 0432 0913 1243 1309;27;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;210
200507759;03/30/2020 12:00:00 AM;03/27/2020 12:00:00 AM;1630;5;Harbor     ;501;1;330;BURGLARY FROM VEHICLE                                   ;0344 0358 1302 1602                    ;0;X;X;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
200515829;10/26/2020 12:00:00 AM;10/26/2020 12:00:00 AM;1515;5;Harbor     ;563;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;0344 0325 0104                         ;0;X;X;402;MARKET                                      ;;;IC;Invest Cont ;442
200511425;07/05/2020 12:00:00 AM;07/04/2020 12:00:00 AM;1900;5;Harbor     ;531;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;1100 0329 1300 1402                    ;23;M;W;104;DRIVEWAY                                    ;;;IC;Invest Cont ;745
200513025;08/16/2020 12:00:00 AM;08/15/2020 12:00:00 AM;2300;5;Harbor     ;518;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
200514778;09/30/2020 12:00:00 AM;09/21/2020 12:00:00 AM;1630;5;Harbor     ;541;1;330;BURGLARY FROM VEHICLE                                   ;0329 0344 1300 1307 1609               ;27;F;A;101;STREET                                      ;;;IC;Invest Cont ;330
200514500;09/24/2020 12:00:00 AM;09/23/2020 12:00:00 AM;1400;5;Harbor     ;585;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329                                   ;50;M;O;108;PARKING LOT                                 ;;;IC;Invest Cont ;745
200510248;06/05/2020 12:00:00 AM;06/05/2020 12:00:00 AM;100;5;Harbor     ;564;1;236;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;0408 0444 1276 0416 0432 0913 1243 1813;24;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;236
200500740;07/27/2020 12:00:00 AM;07/26/2020 12:00:00 AM;100;5;Harbor     ;557;1;121;RAPE, FORCIBLE                                          ;0400 0500 0413 0913 2021 0342 2034 1268;45;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;121
200514582;09/27/2020 12:00:00 AM;09/27/2020 12:00:00 AM;1600;5;Harbor     ;504;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;0325 0352 1236 0344 0104               ;0;X;X;404;DEPARTMENT STORE                            ;;;AA;Adult Arrest;442
200514474;09/23/2020 12:00:00 AM;09/23/2020 12:00:00 AM;2115;5;Harbor     ;501;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;1300 0329                              ;25;F;O;122;VEHICLE, PASSENGER/TRUCK                    ;;;IC;Invest Cont ;745
210505040;01/26/2021 12:00:00 AM;04/13/2020 12:00:00 AM;1201;5;Harbor     ;564;2;354;THEFT OF IDENTITY                                       ;;22;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
200510203;06/04/2020 12:00:00 AM;06/04/2020 12:00:00 AM;150;5;Harbor     ;584;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
210507350;03/26/2021 12:00:00 AM;12/03/2020 12:00:00 AM;1715;5;Harbor     ;521;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;0361 0421 0319 0603 0913               ;43;F;W;103;ALLEY                                       ;511;VERBAL THREAT                                 ;AO;Adult Other ;930
210504003;12/31/2020 12:00:00 AM;12/31/2020 12:00:00 AM;1505;5;Harbor     ;501;2;624;BATTERY - SIMPLE ASSAULT                                ;2049 2051 0910 1822 0416 0429          ;54;F;H;801;MTA BUS                                     ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
200512766;08/08/2020 12:00:00 AM;08/08/2020 12:00:00 AM;1200;5;Harbor     ;529;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0385 1300 0344                         ;52;M;H;101;STREET                                      ;;;IC;Invest Cont ;420
200511477;07/06/2020 12:00:00 AM;07/06/2020 12:00:00 AM;1420;5;Harbor     ;513;1;210;ROBBERY                                                 ;0945 0325 0344 0416 0209 1202 1402 0913;66;M;A;402;MARKET                                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;210
200513850;09/07/2020 12:00:00 AM;09/07/2020 12:00:00 AM;927;5;Harbor     ;529;1;761;BRANDISH WEAPON                                         ;2004 1822 0917 0334 0444 0400          ;62;M;W;517;MISSIONS/SHELTERS                           ;200;KNIFE WITH BLADE 6INCHES OR LESS              ;IC;Invest Cont ;761
200512773;08/08/2020 12:00:00 AM;08/08/2020 12:00:00 AM;430;5;Harbor     ;555;1;310;BURGLARY                                                ;0202 0344 1300                         ;55;F;B;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;310
200513125;08/06/2020 12:00:00 AM;08/06/2020 12:00:00 AM;2025;5;Harbor     ;522;2;624;BATTERY - SIMPLE ASSAULT                                ;0446 1309 1822 0416                    ;23;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;624
200518366;12/30/2020 12:00:00 AM;12/25/2020 12:00:00 AM;930;5;Harbor     ;526;1;510;VEHICLE - STOLEN                                        ;;0;;;108;PARKING LOT                                 ;;;IC;Invest Cont ;510
210508087;04/17/2021 12:00:00 AM;12/14/2020 12:00:00 AM;2033;5;Harbor     ;567;2;354;THEFT OF IDENTITY                                       ;0922                                   ;44;F;H;605;AUTOMATED TELLER MACHINE (ATM)              ;;;IC;Invest Cont ;354
200509927;05/25/2020 12:00:00 AM;05/25/2020 12:00:00 AM;1400;5;Harbor     ;504;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329                                   ;20;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;745
200506396;02/24/2020 12:00:00 AM;02/22/2020 12:00:00 AM;1330;5;Harbor     ;529;1;330;BURGLARY FROM VEHICLE                                   ;1402 1602                              ;0;X;X;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;330
200507154;03/14/2020 12:00:00 AM;03/14/2020 12:00:00 AM;910;5;Harbor     ;514;2;901;VIOLATION OF RESTRAINING ORDER                          ;2038 0913 2004 0389                    ;64;M;H;501;SINGLE FAMILY DWELLING                      ;;;AA;Adult Arrest;901
200504481;01/11/2020 12:00:00 AM;01/11/2020 12:00:00 AM;30;5;Harbor     ;504;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;1300 0329 1814 1307 2000 0913          ;49;F;H;101;STREET                                      ;;;AO;Adult Other ;745
200515864;10/27/2020 12:00:00 AM;10/27/2020 12:00:00 AM;1330;5;Harbor     ;501;1;210;ROBBERY                                                 ;0325 0421 0945 0344 0342 0104 0334 0432;0;X;X;108;PARKING LOT                                 ;102;HAND GUN                                      ;IC;Invest Cont ;210
200513851;09/07/2020 12:00:00 AM;09/07/2020 12:00:00 AM;1125;5;Harbor     ;529;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0913 2004 0447 1309 1817               ;34;M;H;408;AUTO SUPPLY STORE*                          ;310;CONCRETE BLOCK/BRICK                          ;AA;Adult Arrest;230
200512803;08/09/2020 12:00:00 AM;08/09/2020 12:00:00 AM;1815;5;Harbor     ;555;2;901;VIOLATION OF RESTRAINING ORDER                          ;2038                                   ;36;F;B;121;YARD (RESIDENTIAL/BUSINESS)                 ;;;AA;Adult Arrest;901
200515049;10/09/2020 12:00:00 AM;10/08/2020 12:00:00 AM;2300;5;Harbor     ;567;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;1236 0329                              ;0;X;X;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;740
200510136;05/31/2020 12:00:00 AM;05/31/2020 12:00:00 AM;1850;5;Harbor     ;529;2;647;THROWING OBJECT AT MOVING VEHICLE                       ;1300 1310 1402                         ;53;F;W;101;STREET                                      ;500;UNKNOWN WEAPON/OTHER WEAPON                   ;AA;Adult Arrest;647
200516279;11/06/2020 12:00:00 AM;11/06/2020 12:00:00 AM;1240;5;Harbor     ;563;2;624;BATTERY - SIMPLE ASSAULT                                ;1202 1701 0913 0416 1810               ;75;M;H;510;NURSING/CONVALESCENT/RETIREMENT HOME        ;302;BLUNT INSTRUMENT                              ;AO;Adult Other ;624
200517591;12/06/2020 12:00:00 AM;12/04/2020 12:00:00 AM;1930;5;Harbor     ;551;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;1602 1300 0385                         ;57;M;W;101;STREET                                      ;;;IC;Invest Cont ;331
200514563;09/26/2020 12:00:00 AM;09/26/2020 12:00:00 AM;1415;5;Harbor     ;566;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;1822 0342 0416 0417 1218 1309          ;63;M;W;103;ALLEY                                       ;307;VEHICLE                                       ;IC;Invest Cont ;230
200517446;11/26/2020 12:00:00 AM;11/26/2020 12:00:00 AM;1235;5;Harbor     ;514;1;251;SHOTS FIRED AT INHABITED DWELLING                       ;1822                                   ;80;X;X;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);102;HAND GUN                                      ;IC;Invest Cont ;251
200504545;01/13/2020 12:00:00 AM;01/12/2020 12:00:00 AM;2000;5;Harbor     ;566;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329                                   ;43;M;W;254;STUDIO (FILM/PHOTOGRAPHIC/MUSIC)            ;;;IC;Invest Cont ;740
200505955;02/12/2020 12:00:00 AM;02/12/2020 12:00:00 AM;1200;5;Harbor     ;529;1;330;BURGLARY FROM VEHICLE                                   ;0329 0344 0358 1307 1609               ;24;M;W;101;STREET                                      ;;;IC;Invest Cont ;330
200505805;02/12/2020 12:00:00 AM;01/01/2020 12:00:00 AM;1;5;Harbor     ;518;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);0522 0551 1811 1259 0913               ;13;F;B;729;SPECIALTY SCHOOL/OTHER                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;812
200511920;07/16/2020 12:00:00 AM;07/16/2020 12:00:00 AM;400;5;Harbor     ;569;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;0344 0385 1300                         ;32;M;W;108;PARKING LOT                                 ;;;IC;Invest Cont ;331
200518167;12/23/2020 12:00:00 AM;12/23/2020 12:00:00 AM;2200;5;Harbor     ;525;2;623;BATTERY POLICE (SIMPLE)                                 ;1822 1212 0447 0917 2004               ;0;X;X;501;SINGLE FAMILY DWELLING                      ;500;UNKNOWN WEAPON/OTHER WEAPON                   ;IC;Invest Cont ;623
200518300;12/28/2020 12:00:00 AM;12/28/2020 12:00:00 AM;1930;5;Harbor     ;566;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
200517447;11/26/2020 12:00:00 AM;11/26/2020 12:00:00 AM;1235;5;Harbor     ;514;1;251;SHOTS FIRED AT INHABITED DWELLING                       ;1822                                   ;21;X;X;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);102;HAND GUN                                      ;IC;Invest Cont ;251
200510578;06/13/2020 12:00:00 AM;06/10/2020 12:00:00 AM;1;5;Harbor     ;519;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0344 1300 1606 1817 0913               ;42;M;H;101;STREET                                      ;;;IC;Invest Cont ;420
200509645;05/19/2020 12:00:00 AM;05/18/2020 12:00:00 AM;2315;5;Harbor     ;585;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0344 0385 1202 1300                    ;61;F;H;101;STREET                                      ;;;IC;Invest Cont ;420
200516804;11/16/2020 12:00:00 AM;11/15/2020 12:00:00 AM;1600;5;Harbor     ;551;1;330;BURGLARY FROM VEHICLE                                   ;0344 1300                              ;23;F;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
200510201;06/03/2020 12:00:00 AM;06/03/2020 12:00:00 AM;1400;5;Harbor     ;504;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;0104 0325                              ;0;X;X;404;DEPARTMENT STORE                            ;;;AA;Adult Arrest;442
200513379;08/25/2020 12:00:00 AM;08/23/2020 12:00:00 AM;1900;5;Harbor     ;565;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0321 0344 0913 1814                    ;36;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;440
200508560;04/22/2020 12:00:00 AM;04/22/2020 12:00:00 AM;348;5;Harbor     ;503;1;310;BURGLARY                                                ;0206 0321 0358 1607 0216 0209          ;0;X;X;210;RESTAURANT/FAST FOOD                        ;;;IC;Invest Cont ;310
200514948;10/07/2020 12:00:00 AM;10/07/2020 12:00:00 AM;15;5;Harbor     ;567;1;210;ROBBERY                                                 ;0916 0305 1309 0330 0355 0377 1313 0302;48;M;W;101;STREET                                      ;102;HAND GUN                                      ;IC;Invest Cont ;210
200514412;09/21/2020 12:00:00 AM;09/17/2020 12:00:00 AM;1200;5;Harbor     ;566;2;649;DOCUMENT FORGERY / STOLEN FELONY                        ;0344 0603 1202 1300 1309               ;64;M;B;203;OTHER BUSINESS                              ;;;AA;Adult Arrest;649
200516256;11/04/2020 12:00:00 AM;11/03/2020 12:00:00 AM;1630;5;Harbor     ;528;1;330;BURGLARY FROM VEHICLE                                   ;0344 1300 1601                         ;58;M;H;101;STREET                                      ;;;IC;Invest Cont ;330
200507517;03/23/2020 12:00:00 AM;03/23/2020 12:00:00 AM;1215;5;Harbor     ;587;1;330;BURGLARY FROM VEHICLE                                   ;1300 0216 0342                         ;31;M;O;101;STREET                                      ;;;IC;Invest Cont ;330
200517978;12/19/2020 12:00:00 AM;12/18/2020 12:00:00 AM;2030;5;Harbor     ;513;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
210504076;01/02/2021 12:00:00 AM;12/31/2020 12:00:00 AM;1630;5;Harbor     ;521;1;330;BURGLARY FROM VEHICLE                                   ;0344 0385 1300                         ;47;F;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
200508095;04/09/2020 12:00:00 AM;02/15/2020 12:00:00 AM;1000;5;Harbor     ;509;1;310;BURGLARY                                                ;1607 0344 1202                         ;67;M;H;221;PUBLIC STORAGE                              ;;;IC;Invest Cont ;310
200504944;01/22/2020 12:00:00 AM;01/22/2020 12:00:00 AM;1025;5;Harbor     ;517;2;933;PROWLER                                                 ;0100 1202 1822                         ;62;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;933
200512865;08/10/2020 12:00:00 AM;08/10/2020 12:00:00 AM;2100;5;Harbor     ;564;2;624;BATTERY - SIMPLE ASSAULT                                ;0446 0416 1810 0913                    ;27;M;W;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
200511221;06/30/2020 12:00:00 AM;06/29/2020 12:00:00 AM;1800;5;Harbor     ;583;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329 1236                              ;0;M;O;252;COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S,;;;IC;Invest Cont ;740
200517918;12/17/2020 12:00:00 AM;12/16/2020 12:00:00 AM;2200;5;Harbor     ;524;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
200514688;09/30/2020 12:00:00 AM;09/29/2020 12:00:00 AM;1930;5;Harbor     ;564;1;210;ROBBERY                                                 ;0377 0344 0416 0342 0446 0417 0429     ;57;M;W;102;SIDEWALK                                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;210
200512977;08/14/2020 12:00:00 AM;08/14/2020 12:00:00 AM;1605;5;Harbor     ;511;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1814 2000                              ;20;F;H;501;SINGLE FAMILY DWELLING                      ;;;AO;Adult Other ;956
