DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
200913102;08/04/2020 12:00:00 AM;08/02/2020 12:00:00 AM;1700;9;Van Nuys   ;935;1;330;BURGLARY FROM VEHICLE                                   ;1300 1822 0344                         ;31;M;H;101;STREET                                      ;;;IC;Invest Cont ;330
200911570;06/25/2020 12:00:00 AM;06/16/2020 12:00:00 AM;800;9;Van Nuys   ;946;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
200910040;05/22/2020 12:00:00 AM;05/21/2020 12:00:00 AM;1950;9;Van Nuys   ;914;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329                                   ;47;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;745
200900692;04/21/2020 12:00:00 AM;04/19/2020 12:00:00 AM;1925;9;Van Nuys   ;929;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329 1402                              ;75;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;745
200918273;12/09/2020 12:00:00 AM;12/09/2020 12:00:00 AM;1315;9;Van Nuys   ;914;2;888;TRESPASSING                                             ;1501                                   ;37;F;A;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;888
200906714;02/29/2020 12:00:00 AM;02/26/2020 12:00:00 AM;1000;9;Van Nuys   ;933;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
200912684;07/23/2020 12:00:00 AM;07/04/2020 12:00:00 AM;1100;9;Van Nuys   ;914;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329 0332                              ;76;M;O;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;745
200907481;03/15/2020 12:00:00 AM;03/14/2020 12:00:00 AM;1300;9;Van Nuys   ;971;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;1606 0344                              ;29;M;B;123;PARKING UNDERGROUND/BUILDING                ;;;IC;Invest Cont ;420
200914713;09/15/2020 12:00:00 AM;09/14/2020 12:00:00 AM;2030;9;Van Nuys   ;905;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 1420                              ;0;X;X;210;RESTAURANT/FAST FOOD                        ;;;IC;Invest Cont ;440
200900848;09/26/2020 12:00:00 AM;09/26/2020 12:00:00 AM;1315;9;Van Nuys   ;923;1;236;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;1814 0913 0334 0449 2000               ;29;F;H;301;GAS STATION                                 ;200;KNIFE WITH BLADE 6INCHES OR LESS              ;AA;Adult Arrest;236
200908232;04/07/2020 12:00:00 AM;04/07/2020 12:00:00 AM;950;9;Van Nuys   ;932;2;624;BATTERY - SIMPLE ASSAULT                                ;1501 1420                              ;50;M;A;102;SIDEWALK                                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;624
200906488;02/25/2020 12:00:00 AM;02/21/2020 12:00:00 AM;1600;9;Van Nuys   ;905;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0344                                   ;27;M;O;120;STORAGE SHED                                ;;;IC;Invest Cont ;341
200911267;06/19/2020 12:00:00 AM;06/01/2020 12:00:00 AM;1630;9;Van Nuys   ;926;1;330;BURGLARY FROM VEHICLE                                   ;1302 0344                              ;29;M;W;101;STREET                                      ;;;IC;Invest Cont ;330
200918037;12/04/2020 12:00:00 AM;12/03/2020 12:00:00 AM;2325;9;Van Nuys   ;966;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0325 0444                              ;0;X;X;403;DRUG STORE                                  ;514;TIRE IRON                                     ;IC;Invest Cont ;740
200908665;04/20/2020 12:00:00 AM;04/19/2020 12:00:00 AM;1930;9;Van Nuys   ;943;1;761;BRANDISH WEAPON                                         ;0334 0605 1822 0432                    ;48;M;W;101;STREET                                      ;500;UNKNOWN WEAPON/OTHER WEAPON                   ;AO;Adult Other ;761
200907051;02/29/2020 12:00:00 AM;02/28/2020 12:00:00 AM;640;9;Van Nuys   ;963;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0344                                   ;0;X;X;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;341
200908366;04/12/2020 12:00:00 AM;04/11/2020 12:00:00 AM;1940;9;Van Nuys   ;935;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329 1300                              ;49;M;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;740
200900720;06/01/2020 12:00:00 AM;06/01/2020 12:00:00 AM;1730;9;Van Nuys   ;926;1;310;BURGLARY                                                ;0325 1402                              ;0;M;X;406;OTHER STORE                                 ;;;AA;Adult Arrest;310
200918485;12/15/2020 12:00:00 AM;12/13/2020 12:00:00 AM;1555;9;Van Nuys   ;919;2;354;THEFT OF IDENTITY                                       ;0922 0100                              ;34;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
200917150;11/13/2020 12:00:00 AM;11/12/2020 12:00:00 AM;1200;9;Van Nuys   ;915;2;354;THEFT OF IDENTITY                                       ;1822 0924                              ;0;X;X;408;AUTO SUPPLY STORE*                          ;;;IC;Invest Cont ;354
200908398;04/13/2020 12:00:00 AM;04/10/2020 12:00:00 AM;1800;9;Van Nuys   ;985;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
200904167;01/05/2020 12:00:00 AM;01/05/2020 12:00:00 AM;615;9;Van Nuys   ;933;1;310;BURGLARY                                                ;1606 0314                              ;57;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;310
200906880;03/03/2020 12:00:00 AM;03/02/2020 12:00:00 AM;1900;9;Van Nuys   ;989;1;330;BURGLARY FROM VEHICLE                                   ;0344 1609                              ;40;M;W;101;STREET                                      ;;;IC;Invest Cont ;330
210909781;05/27/2021 12:00:00 AM;12/15/2020 12:00:00 AM;1125;9;Van Nuys   ;964;2;354;THEFT OF IDENTITY                                       ;0929                                   ;80;F;W;710;OTHER PREMISE                               ;;;AA;Adult Arrest;354
200900646;03/15/2020 12:00:00 AM;03/15/2020 12:00:00 AM;1100;9;Van Nuys   ;909;1;236;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;0446 1414 0906 2000 0913 1814 0416     ;24;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;236
200913949;08/25/2020 12:00:00 AM;08/24/2020 12:00:00 AM;600;9;Van Nuys   ;935;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;108;PARKING LOT                                 ;;;IC;Invest Cont ;420
200908152;04/04/2020 12:00:00 AM;04/03/2020 12:00:00 AM;2200;9;Van Nuys   ;929;1;510;VEHICLE - STOLEN                                        ;;0;;;108;PARKING LOT                                 ;;;IC;Invest Cont ;510
200917899;11/30/2020 12:00:00 AM;04/29/2020 12:00:00 AM;525;9;Van Nuys   ;906;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;1420 1822 0349                         ;42;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;440
200911917;07/04/2020 12:00:00 AM;05/15/2020 12:00:00 AM;2030;9;Van Nuys   ;941;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;26;F;O;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;440
200905791;02/09/2020 12:00:00 AM;02/02/2020 12:00:00 AM;830;9;Van Nuys   ;971;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 2032                              ;31;M;B;717;HEALTH SPA/GYM                              ;;;IC;Invest Cont ;440
200913044;08/02/2020 12:00:00 AM;08/01/2020 12:00:00 AM;2000;9;Van Nuys   ;952;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;1813 2000 1241 0444                    ;0;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;626
